2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.4976;0.7385;0.8295;0.8552;0.89;0.9231;0.9479
0.473;0.7356;0.8305;0.866;0.8906;0.9195;0.95
0.4824;0.7433;0.8194;0.8598;0.8846;0.9244;0.9556
0.4422;0.7375;0.8204;0.8691;0.8824;0.9261;0.9506
0.4616;0.7444;0.8322;0.8612;0.8896;0.9212;0.9525
0.482;0.727;0.7985;0.8637;0.8865;0.9219;0.9531
0.4988;0.7155;0.8252;0.8708;0.8817;0.9238;0.9435
0.4888;0.7059;0.8037;0.8597;0.8854;0.9264;0.9504
0.4728;0.7372;0.8188;0.8738;0.8927;0.9262;0.9496
0.4872;0.7496;0.8208;0.8645;0.8861;0.9239;0.9504
0.4636;0.7444;0.8164;0.8677;0.8861;0.9225;0.9526
0.4758;0.7444;0.8268;0.8603;0.8829;0.9137;0.9539
0.4712;0.7135;0.8286;0.8688;0.89;0.9225;0.947
0.4688;0.7369;0.8211;0.8649;0.8907;0.9179;0.9513
0.4496;0.7277;0.8299;0.8656;0.8868;0.9233;0.9501
0.4996;0.7465;0.8266;0.8603;0.8829;0.9244;0.9467
0.48;0.7324;0.8258;0.8506;0.8928;0.9234;0.9486
0.4892;0.7164;0.8181;0.8652;0.8921;0.9225;0.9493
0.464;0.7461;0.8295;0.8666;0.8915;0.925;0.9531
0.4286;0.7478;0.8031;0.8708;0.8897;0.9242;0.9496
0.48;0.7452;0.8319;0.8651;0.8928;0.9211;0.9513
0.476;0.7344;0.8226;0.8594;0.8868;0.9255;0.9557
0.48;0.7446;0.8225;0.8673;0.8861;0.9237;0.95
0.4904;0.7406;0.8319;0.86;0.8879;0.9253;0.9484
0.4846;0.7404;0.816;0.8656;0.8803;0.9182;0.9503
0.4616;0.7357;0.8178;0.8537;0.8876;0.9261;0.9477
0.4688;0.737;0.8178;0.8608;0.8926;0.9198;0.9514
0.4902;0.7425;0.8251;0.8671;0.8935;0.9209;0.9506
0.4792;0.7414;0.8202;0.8642;0.8913;0.9235;0.9508
0.4784;0.7483;0.8173;0.8622;0.8902;0.9237;0.9481
0.495;0.739;0.8208;0.8643;0.8872;0.9258;0.9492
0.4952;0.7197;0.8218;0.8544;0.8888;0.9197;0.9504
0.474;0.73;0.8238;0.8651;0.8957;0.9242;0.9497
0.484;0.7307;0.824;0.8422;0.892;0.9264;0.945
0.48;0.72;0.8218;0.8668;0.8857;0.9254;0.9534
0.478;0.7355;0.8203;0.8572;0.8947;0.9256;0.9498
0.4928;0.7434;0.8204;0.8658;0.8911;0.9223;0.9479
