2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.06;0.38;0.62;1.37;2.76;2.23;30.27
0.07;0.78;0.7;1.64;2.33;4.26;7.88
0.06;0.5;0.98;1.48;2.67;4.53;20.04
0.05;0.56;0.66;1.54;2.69;2.88;10.41
0.07;0.28;1.14;3.07;2.04;2.24;12.63
0.06;0.35;0.88;1.04;1.57;9.56;17.2
0.09;0.45;1.16;1.68;2.49;3.32;12.45
0.06;0.4;1.17;0.91;1.25;4.26;24.67
0.04;0.31;0.86;3.52;1.78;6.38;16.01
0.07;0.54;0.32;1.13;2.53;8.51;7.63
0.06;0.58;0.87;1.8;3.32;3.23;10.22
0.08;0.25;0.83;2.1;2.41;3.71;9.77
0.08;0.83;0.53;1.64;3.79;5.74;15.12
0.12;0.5;1;1.18;2.44;2.8;19.5
0.11;0.31;0.64;1.76;3.3;6.71;29.37
0.06;0.52;0.82;1.75;2.11;3.38;10.23
0.04;0.4;0.65;1.76;2.57;2.14;13.4
0.05;0.49;0.67;1.27;1.97;3.27;24.5
0.04;0.28;0.65;1.17;1.96;6.19;24.66
0.13;0.31;0.74;1.43;1.4;7.32;17.06
0.07;0.32;0.61;1.32;1.49;4.28;16.78
0.08;0.31;0.85;1.96;2.77;3.95;18.53
0.04;0.35;0.77;1.75;4.04;3.71;21.07
0.08;0.23;1.02;1.87;1.4;3.24;22.04
0.06;0.3;0.41;1.8;4.01;2.03;15.79
0.07;0.28;0.81;2.11;2.49;3.55;10.41
0.08;0.34;0.82;1.98;3.14;4.08;11.72
0.06;0.2;1.18;2.41;3.93;4.54;15.23
0.05;0.42;0.68;2.19;2.29;5.99;20.17
0.06;0.44;0.65;0.78;1.3;2.4;4.12
0.04;0.12;0.84;1.62;2.51;8.55;20.13
0.06;0.56;1.29;1.16;2.05;3.52;13.25
0.07;0.44;1.17;0.69;4.79;3.7;14
0.03;0.43;1.22;1.1;4.28;3.63;16.33
0.05;0.37;0.84;1.76;2.73;8.09;20.94
0.09;0.16;1.37;1.55;3.9;6.12;7.17
0.11;0.26;0.85;1;1.19;3.23;16.79
0.09;0.25;0.49;2.1;3.29;4.91;22.71
0.1;0.23;0.95;1.1;2.88;5.3;20.73
0.11;0.35;1.21;1.63;2.32;6.97;19.71
0.07;0.37;0.56;0.96;1.98;5.1;10.25
0.06;0.53;1.07;1.32;4.55;7.37;15.27
0.12;0.6;0.79;1.32;3.61;2.16;13.38
0.11;0.42;0.73;2.27;2.38;3.14;21
0.05;0.3;0.57;1.32;2.11;4.79;18.1
0.08;0.42;0.6;1.85;1.28;5.19;15.09
0.06;0.38;0.42;0.7;1.79;6.05;8.27
0.07;0.44;0.72;1.29;3.04;6.01;28.28
0.1;0.38;0.91;2.19;1.49;7.18;17.32
0.07;0.54;0.45;0.81;1.1;5.57;12.99
0.06;0.34;0.33;1.11;3.58;3.37;18.36
0.09;0.3;1.07;1.8;3.05;3.99;23.04
0.06;0.46;1.08;1.67;0.71;3.59;21.05
0.08;0.35;0.32;1.91;1.97;8.22;13.85
0.07;0.37;0.58;0.94;1.84;7.28;14.94
0.04;0.32;0.76;1.01;1.07;3.29;23.13
0.06;0.26;0.5;1.78;2.4;4.39;5.82
0.09;0.13;0.96;1.75;2;6.84;21.49
0.03;0.68;0.84;0.62;2.68;6.21;7.74
0.08;0.38;1.53;3.34;1.6;5.28;10.88
0.08;0.5;0.63;1.52;1.77;3.14;14.78
0.06;0.37;0.43;0.52;1.8;7.11;15.65
0.07;0.51;0.36;1.96;2.89;6.81;22.97
0.06;0.38;0.98;1.58;0.88;1.9;10.18
0.07;0.37;0.79;2.04;2.14;4.06;7.24
0.07;0.47;0.62;1.1;2.58;4.77;20.15
0.07;0.22;0.71;1.6;2.86;5.49;12.43
0.1;0.32;0.81;2.34;1.93;8.03;15.64
0.05;0.15;1.07;1.86;2.89;3.99;9.63
0.1;0.15;0.57;2.22;2.7;1.57;17.4
0.03;0.3;0.94;1.87;0.85;2.94;18.82
0.1;0.7;0.65;0.68;4.14;8.25;10.53
0.07;0.52;0.36;0.76;1.84;9.24;19.11
0.06;0.43;1.08;1.62;5.01;3.49;17.32
0.07;0.26;1.64;1.66;1.45;3.35;25.35
0.04;0.33;0.81;2.13;1.29;2.56;13.89
0.06;0.24;1.07;0.88;4.29;3.62;19.09
