2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.5576;0.2659;0.1769;0.129;0.1061;0.0745;0.0472
0.5312;0.2648;0.1842;0.1493;0.1101;0.0768;0.0461
0.51;0.2532;0.1724;0.1366;0.1064;0.081;0.0475
0.509;0.2501;0.1807;0.1329;0.1151;0.0814;0.0496
0.5252;0.26;0.1772;0.1422;0.1163;0.0779;0.0499
0.522;0.2532;0.1898;0.1366;0.1046;0.0762;0.0495
0.5016;0.2578;0.1757;0.1328;0.1074;0.0752;0.0471
0.5084;0.2618;0.178;0.1275;0.1077;0.0736;0.0503
0.5024;0.2629;0.173;0.13;0.1134;0.0755;0.042
0.5132;0.2559;0.1781;0.1338;0.111;0.0768;0.0477
0.5;0.256;0.1781;0.1442;0.1038;0.0713;0.0499
0.5576;0.2677;0.1732;0.1385;0.1151;0.0775;0.0525
0.5286;0.2637;0.1778;0.1341;0.1082;0.0762;0.0472
0.5416;0.2556;0.1796;0.1395;0.1046;0.0775;0.0501
0.514;0.2725;0.1747;0.1339;0.1055;0.0729;0.0479
0.5264;0.2608;0.1722;0.1364;0.1067;0.0839;0.0507
0.524;0.2768;0.1754;0.1339;0.1139;0.0818;0.0488
0.5084;0.2642;0.1807;0.1277;0.1085;0.0743;0.0556
0.5756;0.2651;0.181;0.1443;0.112;0.078;0.0494
0.5084;0.2802;0.1779;0.1473;0.1066;0.075;0.0463
0.5198;0.2614;0.1761;0.1462;0.113;0.082;0.0489
0.539;0.2634;0.1868;0.1381;0.106;0.0796;0.0495
0.5108;0.2508;0.1882;0.1505;0.1111;0.0788;0.0472
0.526;0.2706;0.1732;0.1538;0.1073;0.0848;0.0455
0.5684;0.2704;0.1868;0.139;0.1093;0.0727;0.0488
0.5108;0.2569;0.1829;0.1334;0.1096;0.0722;0.0497
0.506;0.2544;0.1786;0.1319;0.1041;0.0756;0.0478
0.5154;0.2562;0.1793;0.1399;0.1063;0.0798;0.0505
0.5098;0.2525;0.1768;0.1364;0.1069;0.0725;0.0505
0.52;0.2631;0.1764;0.1366;0.104;0.0845;0.0489
0.516;0.2527;0.1706;0.135;0.1012;0.0762;0.0478
0.5024;0.2504;0.1736;0.1389;0.1141;0.0768;0.0522
0.509;0.2656;0.1816;0.135;0.1126;0.0844;0.0564
0.5144;0.257;0.192;0.137;0.0995;0.0719;0.0499
0.5176;0.2788;0.17;0.1387;0.1161;0.0757;0.0476
0.52;0.2715;0.1803;0.1421;0.1207;0.0718;0.0598
0.5288;0.264;0.1931;0.1362;0.1158;0.0739;0.051
0.4992;0.2651;0.1728;0.1467;0.1086;0.0729;0.05
0.545;0.2567;0.1872;0.1304;0.1026;0.0806;0.0523
0.516;0.2753;0.1706;0.135;0.1099;0.0799;0.0499
0.5198;0.2598;0.1744;0.1314;0.1152;0.0765;0.05
0.5448;0.2612;0.2026;0.1387;0.108;0.0796;0.0464
0.503;0.2579;0.1699;0.1296;0.1169;0.0745;0.0503
0.5;0.271;0.2056;0.1273;0.1158;0.0776;0.0462
0.533;0.2582;0.1768;0.1339;0.1086;0.0765;0.0471
0.5064;0.2508;0.1735;0.1411;0.1135;0.076;0.0491
0.5024;0.2726;0.1771;0.1351;0.1067;0.0755;0.0526
0.533;0.2758;0.1861;0.1454;0.108;0.0743;0.0522
0.5006;0.2634;0.1884;0.14;0.1091;0.0849;0.0485
0.542;0.2535;0.1807;0.1418;0.1099;0.075;0.0437
0.5016;0.2802;0.1747;0.136;0.1126;0.0842;0.0475
0.5112;0.265;0.1799;0.1297;0.1096;0.0731;0.0479
0.518;0.2554;0.1747;0.1273;0.1123;0.0836;0.0514
0.524;0.2607;0.1864;0.1344;0.1223;0.073;0.0468
0.5286;0.2598;0.1685;0.129;0.1136;0.0785;0.0573
0.514;0.2854;0.1886;0.1406;0.1147;0.0781;0.0486
0.506;0.2996;0.1756;0.1484;0.1073;0.0728;0.0502
0.52;0.2631;0.1755;0.1432;0.1202;0.0737;0.0487
0.5308;0.2512;0.1909;0.1509;0.1314;0.0788;0.0518
0.5112;0.2604;0.1967;0.1402;0.1128;0.0808;0.0444
0.5468;0.2784;0.1721;0.133;0.1077;0.0705;0.0511
0.511;0.2636;0.1755;0.1348;0.1157;0.0757;0.0489
0.5176;0.2677;0.1724;0.137;0.1227;0.0755;0.0468
0.5242;0.2588;0.1894;0.1316;0.1084;0.0746;0.0496
0.507;0.2658;0.1849;0.1366;0.1065;0.0783;0.049
0.5364;0.263;0.1806;0.1295;0.1138;0.0756;0.0557
0.5012;0.2878;0.1804;0.1363;0.1178;0.0821;0.0522
0.5176;0.2596;0.1757;0.1346;0.1167;0.0824;0.0477
0.5024;0.2586;0.1772;0.1433;0.113;0.0806;0.0487
0.52;0.2524;0.1848;0.13;0.1086;0.0779;0.0488
0.5096;0.2642;0.1715;0.137;0.1122;0.0741;0.0502
0.5288;0.2579;0.1905;0.1385;0.1091;0.0766;0.052
0.5264;0.2798;0.1693;0.1349;0.1076;0.074;0.0473
0.5882;0.2622;0.1699;0.1294;0.1181;0.0792;0.0513
0.5504;0.2604;0.1758;0.1348;0.1036;0.0827;0.0558
0.5198;0.2598;0.1708;0.1402;0.1216;0.0795;0.0539
0.5392;0.2751;0.1872;0.144;0.1094;0.0746;0.0522
0.5;0.2538;0.1744;0.1277;0.1112;0.0733;0.0514
0.5108;0.2541;0.1766;0.1311;0.1088;0.0802;0.0479
0.5024;0.2615;0.1705;0.1448;0.11;0.0769;0.0521
0.527;0.2644;0.1695;0.134;0.1094;0.0805;0.05
0.5176;0.2567;0.1806;0.1402;0.1154;0.0756;0.0444
0.5578;0.2625;0.1796;0.1309;0.1176;0.0739;0.0494
0.5384;0.2556;0.1678;0.1388;0.1104;0.0788;0.0475
0.518;0.273;0.2015;0.1363;0.1135;0.0781;0.0469
